name,authors,genre,subcategory,note,rack,shelf,comic_book
Terroryści znad tybru,Stanisław Stabryła,Historyczna,,,2,1,FALSE
Starożytny rzym od romulusa do justyniana,Thomas R. Martin,Historyczna,,,2,1,FALSE
SPQR,Mary Beard,Historyczna,,,2,1,FALSE
Królowa Lata,Jaon D. Vinge,SF,,,1,7,FALSE
Pan Potwór,Dan Wells,Horror,Cykl,John Cleaver,2,2,FALSE
Wektor Pierwszy,R.A. Salvatore,SF,,Star Wars,1,7,FALSE
Władcy Samotności,"Marvin Kane, Parke Godwin",SF,,,1,7,FALSE
Dziecko Rzeki,Paul J. McAuley,SF,,,1,7,FALSE
Bezcielny Jack,Julian May,SF,Cykl,Trylogia Galaktyczna,1,7,FALSE
W pogoni za porankiem,Michael S. Rohan,SF,,,1,7,FALSE
Piętaszek,Robert A. Heinlein,SF,,Z duplikatem,1,7,FALSE
Kanon Barbarzyńców,Various Artists,Fantasy,Zbiór opowiadań,,1,7,FALSE
Koncert Nieskończoności,Greg Bear,Fantasy,,,1,7,FALSE
Bohaterowie Umierają,Matthew Woodring Stover,Fantasy,,,1,7,FALSE
Bazil Złamany Ogon,Christopher Rowley,Fantasy,,,1,7,FALSE
W obliczu Śmierci,Sri Srimad,Fantasy,Zbiór opowiadań,,1,7,FALSE
Tam będą smoki,John Ringo,Fantasy,,,1,7,FALSE
Krąg Nienawiści,Keith R. A. DeDandido,Fantasy,,Warcraft,2,1,FALSE
Dzień Smoka,Richard A. Knaak,Fantasy,,Warcraft,2,1,FALSE
Ostatnbi Strażnik,Jeff Grubb,Fantasy,,Warcraft,2,1,FALSE
Rozbicie,Richard A. Knaak,Fantasy,Cykl,Warcraft - wojna starożytnych,2,1,FALSE
Dusza Demona,Richard A. Knaak,Fantasy,Cykl,Warcraft - wojna starożytnych,2,1,FALSE
Studnia Wieczności,Richard A. Knaak,Fantasy,Cykl,Warcraft - wojna starożytnych,2,1,FALSE
Pajęczy Księżyc,Richard A. Knaak,Fantasy,,Diablo,2,1,FALSE
Ukryty Świat,Richard A. Knaak,Fantasy,Cykl,Smocze Królestwo,2,1,FALSE
Czarna Droga,Mel Odom,Fantasy,,Diablo,2,1,FALSE
Pradawna Krew,Robert Earl,Fantasy,,Warhammer,2,1,FALSE
Pałac Władcy Plag,C. L. Werner,Fantasy,,Warhammer,2,1,FALSE
W cieniu xel nagi,Gabriel Mesta,SF,,Starcraft,2,1,FALSE
Nim zapadnie Ciemność,Tracy Hickman,SF,,Starcraft,2,1,FALSE
